,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,2303,15605844,Fuller,834,Spain,Female,40,8,130649.02844760317,2,0,1,157947.84461627319,0
1,8158,15606040,Hargrave,777,Germany,Female,38,8,-1108.3727146017752,1,0,1,157072.32230782532,0
2,5902,15626503,Rivas,516,Spain,Male,36,8,87974.4060966236,2,0,1,60661.867776815656,0
3,6466,15702912,Davide,615,Spain,Male,29,5,53534.73103843737,2,0,0,185380.4185660337,0
4,4963,15632970,Kuo,634,France,Female,35,7,153779.72828298755,2,1,0,46414.26550090958,0
5,2977,15699668,Messersmith,517,Spain,Female,57,6,107207.5718819574,2,0,1,118290.58584917731,0
6,9720,15679741,Akabueze,549,Spain,Female,36,5,-2224.610804388685,1,1,0,121756.82352705237,0
7,5622,15671614,Vasilieva,576,France,Female,34,3,117036.52985533117,2,1,0,173034.7061342891,0
8,8390,15685938,McCarthy,589,Spain,Male,31,8,138288.5787397391,1,1,0,15762.046651176048,0
9,5042,15619033,Mitchell,831,Spain,Male,39,7,148653.60863455472,2,1,0,10912.83098301033,0
10,7680,15635623,Storey,513,Spain,Female,29,6,142336.05092516198,2,0,0,116273.55414127874,0
11,8282,15605619,Pugh,591,Spain,Male,35,9,138787.36384546393,2,1,0,11814.902251618507,1
12,6805,15789843,Adams,735,France,Female,32,5,87990.88152414664,2,0,1,180532.10235011042,0
13,3118,15728141,Obiuto,650,Spain,Female,22,6,-303.5324914872476,1,1,0,182176.58697443182,0
14,8896,15795405,Akabueze,618,Germany,Female,25,5,1112.8404355386435,1,0,1,43917.53905317321,0
15,2311,15676501,Genovesi,546,Germany,Female,38,5,104509.71678550888,2,1,0,124554.04899570835,1
16,8615,15702458,Hudson,598,Germany,Female,34,1,117229.99605722522,1,1,0,28592.262821172444,1
17,6934,15767973,Cantamessa,624,Spain,Female,29,10,128857.04786138289,3,1,1,196946.76558140822,0
18,6240,15761687,Lombardo,595,Germany,Male,23,4,152286.07321293827,2,0,0,146455.54159093494,0
19,7767,15715662,Vinogradova,588,Germany,Male,40,3,101454.03097413614,2,1,1,185425.57634332034,1
20,5002,15642364,De Luca,560,Germany,Male,47,10,69417.09474365355,1,0,0,138992.2588179999,1
21,3862,15615061,Wilson,712,Germany,Female,30,3,-514.257943275334,1,1,1,71938.44698969515,0
22,3287,15787358,Burlingame,540,Germany,Male,29,9,114716.70860262307,2,1,1,130052.01460966446,0
23,4185,15717346,Fleming,613,France,Male,27,5,1432.9077305588967,2,0,0,163198.03325640783,0
24,4221,15757374,Toomey,794,Germany,Male,31,3,154674.62305895973,2,0,1,7410.03876004962,0
25,4562,15706554,Fanucci,509,Spain,Male,58,6,119147.0916212621,2,1,1,144053.25005999097,1
26,8862,15816567,Lo,677,Germany,Male,28,2,147925.31254795523,1,0,0,181407.4127090649,0
27,7881,15699320,Wagner,589,Germany,Male,38,1,116590.48325390872,2,1,1,18404.85385138561,0
28,5331,15632102,Liang,656,Spain,Male,41,8,-1198.5626808597258,2,0,0,47462.32803846536,1
29,1506,15779807,Boulger,764,Germany,Female,59,10,128606.31476094897,1,1,0,123477.78660907596,0
30,8708,15789031,Buchanan,620,Germany,Male,28,5,-1718.0475265822029,2,1,1,188287.3365150632,0
31,6524,15660111,Mays,614,Germany,Male,44,3,104763.08348492165,2,1,0,34178.08793082449,0
32,6463,15720866,Yu,687,Germany,Male,62,4,132085.16110917574,1,1,1,192675.49468032114,0
33,7782,15771613,Zuev,616,France,Male,19,7,131469.07781327752,2,1,0,58758.6404845613,0
34,3573,15611018,Volkov,725,Spain,Female,40,1,110431.90183816914,3,1,1,16290.778794344391,0
35,3501,15648402,Kamdibe,610,Spain,Female,40,2,171140.32049930817,2,1,1,106042.77355775094,0
36,8205,15760492,Cole,607,Germany,Male,37,4,101398.800375276,2,1,0,181879.6970057996,0
37,8352,15676623,Yoo,519,Spain,Female,32,7,88706.9660258233,1,1,1,174234.43286972592,1
38,7482,15691321,Arcuri,683,Spain,Male,36,5,109446.98379021375,2,1,1,113171.78961650722,0
39,6937,15684582,Millar,483,Spain,Male,21,8,141643.97529498948,2,1,1,140657.44056817156,0
40,7304,15778226,Melvin,645,France,Male,30,10,128996.31884033211,1,1,0,126029.39773959745,0
41,4386,15614072,Boni,646,Germany,Male,21,7,153112.36733715812,2,1,1,181279.92614913476,0
42,3539,15779169,Ts'ai,591,France,Female,27,10,113041.17284120957,2,1,1,139671.37344426048,0
43,2596,15733850,Siciliani,803,Germany,Male,33,1,-148.1874056285529,2,1,1,160135.95356384164,1
44,2327,15744119,Gardner,807,Germany,Male,38,8,141373.00278406488,3,0,1,173618.77153716228,0
45,787,15760406,Lettiere,796,Germany,Female,33,3,146839.79713589363,2,1,0,107941.78640460351,1
46,7304,15743977,Baker,507,Germany,Female,36,2,84130.38939873048,2,0,1,135660.57177912327,0
47,9640,15745048,Sneddon,567,France,Female,44,2,143568.27562373865,2,0,1,184073.17341055517,1
48,8664,15791859,Collier,539,Spain,Male,25,10,164040.31275097394,1,1,1,9544.514593803915,0
49,3341,15700209,Hanson,677,Germany,Male,46,3,110733.10755416915,3,1,1,177374.655192438,0
50,606,15768851,Yeh,821,France,Female,21,3,127058.3090716578,1,1,0,146752.73616477626,0
51,8332,15577652,Tipton,602,France,Female,38,7,101495.01403072661,2,0,1,18617.310133801067,0
52,3679,15664712,Pettit,622,Spain,Female,34,9,122481.81853569477,2,1,1,55118.681603433404,1
53,7790,15650158,Zito,590,Germany,Male,33,1,-213.22322633213048,3,1,0,167278.42056525746,0
54,491,15585579,Onwumelu,763,Germany,Female,47,1,123826.36041549436,2,1,1,148442.84493113428,0
55,6294,15621446,Mazure,693,Germany,Male,30,5,143681.48838408498,1,1,0,60652.84870525985,0
56,7534,15748462,Day,624,Germany,Male,25,5,134492.59023875106,1,1,1,161743.17323242323,1
57,9503,15580842,Fu,658,Germany,Female,27,3,115137.32949483668,1,1,1,31503.794194945098,0
58,4368,15627891,Copeland,515,Spain,Female,22,4,431.01778050547347,1,1,1,122754.73965077681,0
59,8258,15611971,Dyer,553,Germany,Female,44,1,305.1807850832852,2,0,1,38188.206668432256,0
60,5499,15732316,Woronoff,731,Spain,Female,28,5,124148.20482649835,2,1,1,98528.04911934532,0
61,9686,15591323,Ch'iu,559,Germany,Male,47,1,-1511.5246940653035,2,1,0,118240.08391408918,0
62,9823,15617827,Walton,783,Spain,Male,53,7,119838.98019389721,1,0,1,149450.9694464973,0
63,7946,15687739,Ijendu,570,France,Female,38,8,841.9731213845708,1,1,1,181284.9009536406,0
64,8079,15762476,Bennet,810,Germany,Male,28,10,102289.87365564427,3,1,1,138074.4224605602,1
65,7635,15598977,Ch'ien,617,France,Female,31,3,111655.47941862112,2,1,1,167726.50531844774,1
66,8266,15800933,Weston,481,Spain,Female,33,2,171797.19968071906,2,0,0,39074.968803928154,0
67,3880,15645921,Chioke,653,Spain,Female,39,1,-2774.9259496024733,1,0,0,177625.07929970993,1
68,1548,15669763,Lombardi,530,France,Female,36,9,76.93207832972317,1,0,0,191643.4244917704,0
69,9425,15586255,Thao,560,France,Female,35,2,-1188.2697990617744,2,0,1,157481.7248201857,1
70,8987,15722495,Townsend,510,Spain,Male,26,3,791.1646116637306,1,0,1,118268.6417095604,0
71,3216,15740280,Beach,714,Germany,Female,36,3,167305.62418593088,2,1,0,6028.078291041606,1
72,9631,15677297,Anderson,478,Spain,Male,32,3,132712.06181920553,2,1,1,69909.85586157108,0
73,1096,15635419,Wardell,713,Spain,Female,51,4,93667.58609537674,3,1,1,99159.4231866851,1
74,955,15741148,Grubb,742,Germany,Female,31,3,118675.79666198893,1,1,1,181542.93356772515,0
75,2546,15782165,Norman,641,Spain,Male,38,9,130813.18617061451,2,0,1,146402.02775125764,0
76,1836,15790659,Kaeppel,539,France,Female,27,0,79072.52509619469,2,1,1,104840.30190283616,0
77,606,15761721,MacDonald,580,France,Female,25,5,107385.49967238365,2,1,1,182642.18516283916,0
78,5073,15718041,Rizzo,694,Spain,Female,23,7,158083.51342655416,1,0,0,180804.31928928406,1
79,7474,15746440,Wu,560,France,Female,36,3,82655.04269400987,1,0,1,1664.2630915037844,1
80,9587,15675452,Mullen,686,Spain,Male,32,6,465.27075459121266,1,1,0,179365.93904678148,1
81,9404,15669777,Singh,657,France,Female,33,3,137689.0738441047,2,1,1,123737.61756927449,0
82,2360,15592557,Castiglione,447,France,Female,48,8,126434.95351656592,1,1,0,113555.92774755468,0
83,4066,15657161,Ngozichukwuka,750,France,Female,36,3,-151.35825825844276,2,1,0,104613.16542052563,0
84,8682,15704000,Hawkins,554,France,Male,35,7,114354.06778961144,3,1,1,84865.17595969641,0
85,2855,15711761,Brennan,622,Germany,Male,31,3,97630.01924103004,2,1,1,10722.960193352295,0
86,2869,15617288,Noble,749,France,Male,32,5,116166.88507641836,1,1,0,51661.36391455519,0
87,2343,15649921,Ch'en,560,Germany,Female,42,8,110169.39620028778,3,1,1,172571.0561485175,0
88,3641,15681994,Atkins,692,France,Female,28,0,1365.1169885732209,2,1,1,131589.67544680534,0
89,8127,15626292,Briggs,699,Germany,Male,27,3,93728.21217001176,2,1,1,155600.0212617427,0
90,7680,15706652,Plumb,628,France,Male,33,3,108368.98105775997,2,0,0,97342.32042753801,0
91,4971,15702419,Fanucci,756,France,Female,30,9,128363.50558574636,3,1,1,19662.312889069755,0
92,5389,15718002,Mario,564,Spain,Male,28,4,79553.30787899214,1,1,0,111906.29126039906,0
93,3699,15590963,Bradley,709,Germany,Male,43,5,98671.89871716338,1,1,1,73054.3656160228,1
94,8471,15628174,Galloway,594,Spain,Female,41,4,432.9914970834943,1,1,1,141402.3935875038,0
95,8083,15609365,Murphy,591,France,Female,32,2,120411.90020117546,2,0,1,47362.84720485214,1
96,9992,15580435,Martin,675,France,Female,33,9,112781.98865584098,2,1,1,109124.44364764463,0
97,2589,15639736,Fallaci,589,France,Female,36,7,126629.73339659536,2,0,0,184849.51536153766,0
98,1057,15648716,Walton,527,France,Male,26,2,352.8052424705806,1,0,0,55368.97520900666,1
99,4582,15602446,Baker,865,Spain,Male,31,3,115126.4243513083,3,1,1,184982.4455905255,0
100,3830,15801045,Hope,628,France,Female,46,1,130564.13654834722,3,1,1,14890.665072175125,0
101,2027,15698998,Wilhelm,558,France,Female,26,8,118903.91363597827,1,0,1,117431.65328508326,0
102,9533,15724416,Onwudiwe,744,Spain,Male,46,9,75548.62698319332,1,1,1,55405.66136214412,1
103,3903,15604246,Nkemakonam,815,France,Female,31,8,172610.7975945833,2,1,0,185710.83715270978,0
104,7623,15754201,Abazu,640,France,Female,26,7,-2082.6388533236627,2,1,1,198811.0820828095,0
105,4812,15808014,Bibi,734,Germany,Female,30,5,956.1704493046581,2,0,1,155727.9597621969,0
106,8229,15806418,Byrne,761,Spain,Male,41,9,180749.58663490228,2,1,1,42060.72176111578,1
107,8271,15701731,Welch,566,Germany,Female,43,3,142501.8420364438,2,1,1,199033.35932536065,0
108,9756,15581866,Oluchi,580,Germany,Male,28,1,-320.1155519909525,3,1,1,58408.13792719461,0
109,7712,15692994,Arnold,738,Spain,Female,39,1,136317.7494332423,2,0,1,9128.565754169082,0
110,2371,15599068,Nwokezuike,612,Spain,Male,30,6,136092.4457360012,2,1,0,56327.56476401282,0
111,2531,15717231,Ponomarev,607,Spain,Female,42,3,119155.08395261326,2,1,1,8601.38547077599,0
112,925,15649557,Muecke,532,Spain,Male,63,8,127251.65445219015,2,1,1,152099.93435264824,1
113,3436,15689378,Goliwe,520,Spain,Male,39,3,121952.83337006655,1,1,0,163487.88139221517,1
114,8368,15612654,Ku,718,Spain,Female,57,7,144937.8061120091,1,1,1,136276.77542943688,0
115,9601,15611386,Lai,597,Germany,Male,50,4,101942.86063894519,2,0,1,182366.47962279545,1
116,3180,15654489,Obiajulu,632,Germany,Female,31,9,130466.33959684848,3,1,0,154470.26790046232,0
117,7381,15777372,Tien,833,Germany,Female,42,8,236.39591824328753,2,0,0,153493.54784128108,1
118,6264,15610727,Guidry,555,Spain,Female,35,7,134898.55543110397,2,1,1,5555.369430348768,1
119,4526,15614319,Christie,686,Spain,Female,36,2,133515.1954093352,1,1,0,146836.6279942166,0
120,7645,15631538,Verjus,696,France,Female,27,1,1039.7216619208561,2,0,1,182625.86374201105,0
121,7801,15803976,Niu,637,Germany,Male,36,9,193642.02285303158,1,1,1,144294.72796849156,0
122,3401,15794628,Tsao,592,Germany,Male,33,4,157093.15156701385,2,1,0,65448.79617830378,0
123,9145,15759625,Lai,543,France,Female,28,1,116706.19629308772,2,1,1,57952.44590823151,0
124,9495,15806020,Bishop,629,Spain,Male,64,3,3830.0734442169232,1,0,0,152176.29323355065,0
125,6682,15747025,Gartrell,721,Germany,Male,32,6,-328.06639776913875,2,1,1,115693.15410488767,0
126,6191,15661794,Allan,858,Spain,Male,62,3,111933.74042602791,2,1,1,122843.97227361103,0
127,5566,15700663,Fang,682,France,Female,30,2,-875.6202726311377,1,1,1,155606.1195724407,1
128,1464,15686001,Hall,592,Germany,Male,41,0,133267.32377095733,1,1,1,105858.68053984042,0
129,3695,15634732,Chinomso,741,Germany,Male,42,10,134836.4855127229,1,1,1,178066.90092896335,0
130,6833,15654382,Pisano,674,France,Female,25,6,107314.31075166709,2,1,1,74675.41137411028,1
131,8988,15608732,Diribe,613,Germany,Male,36,3,126022.80792670816,2,1,0,46940.64802407865,0
132,1850,15653208,Maslow,760,Spain,Female,56,6,109357.86256503694,2,1,1,9640.390579955958,0
133,8188,15729683,French,614,Spain,Male,27,10,133697.2599136236,2,1,1,51821.40029039375,1
134,292,15723713,Higgins,608,Germany,Female,35,5,104987.84708867637,1,0,1,45645.77681548732,0
135,1586,15652588,Harrison,582,Germany,Female,52,9,124011.23005394515,1,1,1,51043.72904393303,0
136,8989,15629817,O'Neill,570,France,Female,35,6,-74.94453766982437,2,0,0,79381.59133500233,0
137,4462,15770623,Gidney,543,Germany,Male,41,5,145428.45921442096,2,1,1,46286.07781094784,1
138,2551,15717868,Teng,634,Spain,Female,28,6,101758.8793028582,2,0,0,132485.78435617452,0
139,9327,15653969,Hall,595,France,Female,32,9,121716.67396102299,2,1,0,161407.19654248128,0
140,9499,15666912,Gordon,791,Spain,Male,30,9,111938.68970127775,1,1,0,14254.537524398875,1
141,3399,15619855,Mazzanti,725,France,Female,42,10,141392.13940369108,3,1,1,185052.61288927772,0
142,9107,15628679,Gambrell,633,France,Male,41,8,100668.63370501698,2,1,1,151191.3615676245,0
143,6958,15680376,Loggia,761,Germany,Female,43,9,71748.25850366482,1,0,0,182087.93435879773,0
144,6431,15693053,Adams,514,Spain,Male,34,4,123408.60185481035,2,1,1,200651.2155318632,1
145,7335,15755023,Bartlett,609,Germany,Female,46,10,82812.4048827082,1,1,0,107699.72323425284,0
146,618,15671811,Doherty,696,Spain,Female,37,4,142347.16531106783,3,0,1,124163.62253684034,0
147,2596,15811026,Onwudiwe,655,Germany,Female,36,7,101918.74379603507,2,1,1,13061.86837878327,1
148,7655,15582980,Ts'ui,831,Spain,Female,38,8,425.79703469454216,2,1,1,5891.869308508801,0
149,1412,15788836,Vida,622,Spain,Male,39,3,107011.25150259075,2,1,0,162879.325147374,1
