RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2880,15685714,Kang,850,Germany,Male,65,2,114226.08,2,0,1,167980.21,0
2881,15723220,Tsui,635,Germany,Female,31,4,112722.55,1,1,1,174084.81,0
2882,15592926,Palerma,692,Spain,Female,30,7,0,2,1,0,137742.77,0
 2883,15715109,Onyekachi,727,France,Female,35,7,0,2,1,0,196665.1,0
2884,15663733,Fang,506,France,Male,41,8,0,2,1,0,195890.94,0
2885,15699882,Hargreaves,569,France,Female,41,10,0,2,0,0,54604.6,0 
9666,15629463,Boni,685,France,Male,23,8,0,2,1,0,126897.15,0
9667,15632887,Porter,734,France,Male,40,1,0,2,0,0,148040.44,0
9668,15738180,Simmons,670,France,Male,35,4,0,2,1,0,163432.43,0
 9669,15666418,Coles,543,Germany,Male,40,3,114950.06,1,1,0,87321,1
9670,15803324,Gordon,714,France,Male,34,1,0,2,0,0,170771.93,0
9671,15656052,Udinesi,639,France,Male,41,8,0,1,1,0,97400.33,1 
7295,15807541,Lombardi,579,France,Female,53,3,0,2,1,0,8310.71,0
7296,15802569,Sal,748,France,Female,43,5,0,2,1,0,120134.3,0
7297,15674915,Waters,737,France,Female,30,1,128839.37,1,0,1,166843.9,0
 7298,15636411,Hsueh,624,France,Female,39,9,0,2,1,1,171319.57,0
7299,15690191,Green,542,Spain,Female,41,7,155972.78,1,1,0,127804.61,0
7300,15625026,Boni,732,France,Male,33,1,0,2,0,0,146031.43,0 
8331,15644097,Kuo,719,Germany,Female,43,7,123591.48,1,1,1,189814.04,0
8332,15700811,Chienezie,850,France,Female,42,8,0,2,0,1,101604.88,0
8333,15639209,Pisano,553,France,Female,30,4,0,1,1,0,129636.32,1
 8334,15581363,Chin,543,France,Male,22,6,0,2,1,0,141133.92,0
8335,15583021,Hayes-Williams,624,France,Female,34,6,0,2,1,0,97796.64,0
8336,15680332,Crowther,811,Germany,Female,42,1,131476.08,1,0,1,106892.24,1 
4518,15781611,Sabbatini,628,France,Male,51,3,0,2,1,0,107516.87,0
4519,15685552,Buckner,633,Spain,Male,28,4,0,2,0,0,100876.77,0
4520,15730148,Onwubiko,639,France,Female,38,9,0,2,1,0,172207.02,0
 4521,15672227,Chiu,596,France,Female,43,6,0,2,1,1,142094.11,0
4522,15588766,Davide,697,France,Male,35,5,0,2,1,1,141400.51,0
4523,15742730,Ts'ui,607,France,Male,43,4,135896.67,1,0,0,100844.51,0 
5306,15707925,Folliero,707,France,Female,60,4,0,2,1,1,53808.75,0
5307,15674801,Saunders,695,France,Female,31,1,0,2,0,0,153830.31,0
5308,15594480,Ch'eng,746,France,Male,33,3,0,2,1,0,34678.25,0
 5309,15684849,Ch'eng,489,France,Female,36,3,147779.62,1,1,1,132852.97,0
5310,15679454,Tai,850,France,Male,24,1,0,2,0,1,6947.44,0
5311,15795099,Lo,850,France,Female,35,9,0,2,1,0,122597.96,0 
5121,15746440,Hsueh,665,Spain,Female,42,3,0,2,1,0,168257.17,0
5122,15783935,Tuan,580,Spain,Male,42,8,0,2,1,1,73542.45,0
5123,15735962,P'eng,581,Germany,Male,33,2,152812.9,1,1,0,84085.95,0
 5124,15753794,Mai,611,France,Male,57,8,0,2,1,1,38905.39,0
5125,15693390,Smith,576,Germany,Male,42,6,111234.82,1,1,1,127817.16,0
5126,15605980,Coates,633,France,Female,34,7,179841.82,2,1,1,140517.38,0 
4510,15733901,Ch'eng,694,France,Female,31,3,0,2,0,0,20628.5,0
4511,15753770,Ch'eng,731,France,Male,37,6,0,2,1,1,179898.2,0
4512,15711600,Burgess,528,France,Male,36,8,0,1,1,0,20292.29,0
 4513,15685000,Greco,636,Germany,Female,38,3,91085.92,2,1,1,39251.63,0
4514,15592800,Tien,637,France,Male,43,1,0,1,0,1,73575.28,1
4515,15580200,H?,567,Spain,Female,54,6,0,1,1,0,192356.57,1 
1831,15775099,Wells,668,France,Female,31,8,0,2,0,0,13828.33,0
1832,15756839,Chesnokova,532,Spain,Male,37,3,0,2,1,1,134040.08,0
1833,15626086,Chiemenam,692,France,Male,28,7,0,2,1,0,129898.73,0
 1834,15615535,Simmons,711,France,Male,34,1,0,2,1,0,14029.05,0
1835,15769887,McElhone,714,France,Male,34,5,0,2,1,0,142093.2,0
