RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2132,15760811,Endrizzi,531,France,Male,35,7,0,1,1,1,157852.39,0
2133,15681714,Korovina,657,France,Male,35,1,118057.62,1,1,1,179541.7,0
2134,15659917,Mao,731,France,Male,24,7,0,2,0,0,191177.23,0
 2135,15687962,Endrizzi,686,Spain,Female,40,4,0,1,1,0,182738.59,1
2136,15732970,Wang,725,Spain,Male,38,2,0,2,1,1,194928.01,0
2137,15605910,Ch'ien,640,France,Female,36,6,150660.25,1,1,0,142575.83,0 
3737,15747089,Gibson,864,France,Female,31,1,0,1,1,0,82571.85,0
3738,15767332,P'an,656,Germany,Male,43,1,135877.82,1,1,1,90980.79,1
3739,15798741,Ch'ang,713,France,Female,28,2,0,2,1,1,159924.66,0
 3740,15593758,Dellucci,631,Germany,Female,35,5,101744.59,2,1,1,134444.75,0
3741,15594120,Macleod,622,France,Female,31,5,0,2,1,1,17095.65,0
3742,15796068,McElhone,621,Spain,Male,23,4,0,1,1,1,130842.76,0 
8452,15741640,Lai,582,Spain,Female,40,8,0,2,1,1,70416.21,0
8453,15657192,Lazarev,611,France,Female,41,3,121174.41,1,1,1,142977.4,0
8454,15678831,Toscani,658,France,Male,43,4,131433.36,1,0,1,59584.65,0
 8455,15593134,Ch'in,640,Spain,Male,32,1,0,2,0,0,99280.09,0
8456,15592591,Pai,547,Germany,Female,58,0,136493.44,1,0,1,47319.13,1
8457,15742641,White,587,France,Male,33,5,0,2,0,0,140678.4,0 
7581,15662980,Ch'ang,653,Spain,Female,27,8,0,2,1,1,152409.1,0
7582,15811299,Gibbons,730,Germany,Female,39,5,149454.68,1,1,0,35677.46,1
7583,15676546,Pirozzi,850,Spain,Male,31,2,0,2,1,1,145592.24,0
 7584,15606914,Hanson,741,Germany,Female,35,3,117826.2,1,0,1,196143.38,0
7585,15588035,Bogolyubov,553,Germany,Female,43,4,103963.01,2,1,1,107182.59,0
7586,15710914,Anderson,634,Germany,Male,42,8,132813.85,2,1,1,184380.19,0 
7224,15802536,Marino,691,France,Female,27,3,0,2,1,0,116921.35,0
7225,15696831,Palerma,527,Spain,Female,65,7,0,2,1,1,143847.71,0
